id,name,category,categories,description,retailPrice,currency,clinicUsePrice,b2bPrice,price,shippingRate,image,images,badge,requiresConsult,consultProgramId,active,sortOrder,subStore,notificationEmails,shipStationEnabled,shipStationSku,shipStationIntegration,easyShipEnabled,easyShipSku,easyShipIntegration,netSuiteEnabled,netSuiteItemId,netSuiteIntegration
vyta-tirz-20mg-case,Vyta- Tirz 20mg (Case),Peptides,Peptides,Case,2000.00,CAD,,,CA$2000.00,,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789750264823-nc0i3l.png,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789750264823-nc0i3l.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,tirz-20mg-case,puramass,,,
vyta-tirz-20mg-vial,Vyta- Tirz 20mg (Single Vial),Peptides,Peptides,Single Vial,200.00,CAD,,,CA$200.00,,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789750279052-lepk2i.png,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789750279052-lepk2i.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,tirz-20mg-vial,puramass,,,
vyta-kpv-5mg-case,Vyta- KPV 5mg (Case),Peptides,Peptides,Case,500.00,CAD,,,CA$500.00,,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789745982807-zr7nzk.png,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789745982807-zr7nzk.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,kpv-5mg-case,puramass,,,
vyta-kpv-5mg-vial,Vyta- KPV 5mg (Single Vial),Peptides,Peptides,Single Vial,50.00,CAD,,,CA$50.00,,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789746082012-90l0wa.png,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789746082012-90l0wa.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,kpv-5mg-vial,puramass,,,
vyta-hgh-191aa-10-iu-case,Vyta- HGH 191AA 10 IU (Case),Peptides,Peptides,Case,750.00,CAD,,,CA$750.00,,https://didnmcyrxgubgesiaatj.supabase.co/storage/v1/object/public/product-boxes/HGH%20191AA%20(Somatropin)%2010%20IU.png,https://didnmcyrxgubgesiaatj.supabase.co/storage/v1/object/public/product-boxes/HGH%20191AA%20(Somatropin)%2010%20IU.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,hgh-191aa-10-iu-case,puramass,,,
vyta-hgh-191aa-10-iu-vial,Vyta- HGH 191AA 10 IU (Single Vial),Peptides,Peptides,Single Vial,75.00,CAD,,,CA$75.00,,https://puramass.com/images/products/HGH 191AA (Somatropin) 10 IU.jpg,https://puramass.com/images/products/HGH 191AA (Somatropin) 10 IU.jpg,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,hgh-191aa-10-iu-vial,puramass,,,
vyta-alprostadil-20mcg-case,Vyta- Alprostadil 20mcg (Case),Peptides,Peptides,Case,0.00,CAD,,,CA$0.00,,https://didnmcyrxgubgesiaatj.supabase.co/storage/v1/object/public/product-boxes/Alprostadil%2020mcg.png,https://didnmcyrxgubgesiaatj.supabase.co/storage/v1/object/public/product-boxes/Alprostadil%2020mcg.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,alprostadil-20mcg-case,puramass,,,
vyta-alprostadil-20mcg-vial,Vyta- Alprostadil 20mcg (Single Vial),Peptides,Peptides,Single Vial,0.00,CAD,,,CA$0.00,,https://didnmcyrxgubgesiaatj.supabase.co/storage/v1/object/public/runway-uploads/Alprostadil%2020mcg.png,https://didnmcyrxgubgesiaatj.supabase.co/storage/v1/object/public/runway-uploads/Alprostadil%2020mcg.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,alprostadil-20mcg-vial,puramass,,,
vyta-fox04-10mg-case,Vyta- FOX04 10mg (Case),Peptides,Peptides,Case,3000.00,CAD,,,CA$3000.00,,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789742953089-ct9jtq.png,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789742953089-ct9jtq.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,fox04-10mg-case,puramass,,,
vyta-fox04-10mg-vial,Vyta- FOX04 10mg (Single Vial),Peptides,Peptides,Single Vial,300.00,CAD,,,CA$300.00,,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789743005744-dg8wp5a.png,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789743005744-dg8wp5a.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,fox04-10mg-vial,puramass,,,
vyta-kpv-10mg-case,Vyta- KPV 10mg (Case),Peptides,Peptides,Case,950.00,CAD,,,CA$950.00,,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789746180496-e2cm1.png,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789746180496-e2cm1.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,kpv-10mg-case,puramass,,,
vyta-kpv-10mg-vial,Vyta- KPV 10mg (Single Vial),Peptides,Peptides,Single Vial,95.00,CAD,,,CA$95.00,,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789746169809-7bh0ea.png,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789746169809-7bh0ea.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,kpv-10mg-vial,puramass,,,
vyta-tirz-10mg-case,Vyta- Tirz 10mg (Case),Peptides,Peptides,Case,1200.00,CAD,,,CA$1200.00,,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789750198361-40z0nt.png,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789750198361-40z0nt.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,tirz-10mg-case,puramass,,,
vyta-tirz-10mg-vial,Vyta- Tirz 10mg (Single Vial),Peptides,Peptides,Single Vial,120.00,CAD,,,CA$120.00,,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789750185405-3ual9.png,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789750185405-3ual9.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,tirz-10mg-vial,puramass,,,
vyta-cagri-10mg-case,Vyta- Cagri 10mg (Case),Peptides,Peptides,Case,3350.00,CAD,,,CA$3350.00,,https://didnmcyrxgubgesiaatj.supabase.co/storage/v1/object/public/product-boxes/Cagrilintide%2010mg.png,https://didnmcyrxgubgesiaatj.supabase.co/storage/v1/object/public/product-boxes/Cagrilintide%2010mg.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,cagri-10mg-case,puramass,,,
vyta-cagri-10mg-vial,Vyta- Cagri 10mg (Single Vial),Peptides,Peptides,Single Vial,335.00,CAD,,,CA$335.00,,https://swpcvpkcfxihxmjpjqow.supabase.co/storage/v1/object/public/products/Cagrilintide%2010mg.JPG,https://swpcvpkcfxihxmjpjqow.supabase.co/storage/v1/object/public/products/Cagrilintide%2010mg.JPG,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,cagri-10mg-vial,puramass,,,
vyta-bpc-tb500-20mg-case,Vyta- BPC+ TB500 20mg (Case),Peptides,Peptides,Case,2000.00,CAD,,,CA$2000.00,,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789740845135-37opu.png,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789740845135-37opu.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,bpc-tb500-20mg-case,puramass,,,
vyta-bpc-tb500-20mg-vial,Vyta- BPC+ TB500 20mg (Single Vial),Peptides,Peptides,Single Vial,200.00,CAD,,,CA$200.00,,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789740756308-5qtz4n.png,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789740756308-5qtz4n.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,bpc-tb500-20mg-vial,puramass,,,
vyta-mots-c-40mg-case,Vyta- MOTS C 40mg (Case),Peptides,Peptides,Case,2000.00,CAD,,,CA$2000.00,,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789746532264-e1do33.png,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789746532264-e1do33.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,mots-c-40mg-case,puramass,,,
vyta-mots-c-40mg-vial,Vyta- MOTS C 40mg (Single Vial),Peptides,Peptides,Single Vial,200.00,CAD,,,CA$200.00,,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789746519365-ube5m.png,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789746519365-ube5m.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,mots-c-40mg-vial,puramass,,,
vyta-bpc157-10mg-case,Vyta- BPC157 10mg (Case),Peptides,Peptides,Case,1000.00,CAD,,,CA$1000.00,,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789741800235-k7a56v.png,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789741800235-k7a56v.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,bpc157-10mg-case,puramass,,,
vyta-bpc157-10mg-vial,Vyta- BPC157 10mg (Single Vial),Peptides,Peptides,Single Vial,100.00,CAD,,,CA$100.00,,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789741822514-c8xvrk.png,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789741822514-c8xvrk.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,bpc157-10mg-vial,puramass,,,
vyta-bpc157-20mg-case,Vyta- BPC157 20mg (Case),Peptides,Peptides,Case,1400.00,CAD,,,CA$1400.00,,https://didnmcyrxgubgesiaatj.supabase.co/storage/v1/object/public/product-boxes/BPC-157%2020mg.png,https://didnmcyrxgubgesiaatj.supabase.co/storage/v1/object/public/product-boxes/BPC-157%2020mg.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,bpc157-20mg-case,puramass,,,
vyta-bpc157-20mg-vial,Vyta- BPC157 20mg (Single Vial),Peptides,Peptides,Single Vial,140.00,CAD,,,CA$140.00,,https://puramass.com/images/products/BPC-157 20mg.jpg,https://puramass.com/images/products/BPC-157 20mg.jpg,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,bpc157-20mg-vial,puramass,,,
vyta-tesa-5mg-case,Vyta- Tesa 5mg (Case),Peptides,Peptides,Case,1000.00,CAD,,,CA$1000.00,,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789749758736-zvxtee.png,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789749758736-zvxtee.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,tesa-5mg-case,puramass,,,
vyta-tesa-5mg-vial,Vyta- Tesa 5mg (Single Vial),Peptides,Peptides,Single Vial,100.00,CAD,,,CA$100.00,,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789749770826-100t9d.png,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789749770826-100t9d.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,tesa-5mg-vial,puramass,,,
vyta-tirz-40mg-case,Vyta- Tirz 40mg (Case),Peptides,Peptides,Case,4000.00,CAD,,,CA$4000.00,,https://didnmcyrxgubgesiaatj.supabase.co/storage/v1/object/public/product-boxes/Tirzepatide%2040mg.png,https://didnmcyrxgubgesiaatj.supabase.co/storage/v1/object/public/product-boxes/Tirzepatide%2040mg.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,tirz-40mg-case,puramass,,,
vyta-tirz-40mg-vial,Vyta- Tirz 40mg (Single Vial),Peptides,Peptides,Single Vial,400.00,CAD,,,CA$400.00,,https://puramass.com/images/products/GLP-2T 40mg.jpg,https://puramass.com/images/products/GLP-2T 40mg.jpg,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,tirz-40mg-vial,puramass,,,
vyta-epit-10mg-case,Vyta- Epit 10mg (Case),Peptides,Peptides,Case,650.00,CAD,,,CA$650.00,,https://didnmcyrxgubgesiaatj.supabase.co/storage/v1/object/public/product-boxes/Epithalon%2010mg.png,https://didnmcyrxgubgesiaatj.supabase.co/storage/v1/object/public/product-boxes/Epithalon%2010mg.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,epit-10mg-case,puramass,,,
vyta-epit-10mg-vial,Vyta- Epit 10mg (Single Vial),Peptides,Peptides,Single Vial,65.00,CAD,,,CA$65.00,,https://puramass.com/images/products/Epithalon 10mg.jpg,https://puramass.com/images/products/Epithalon 10mg.jpg,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,epit-10mg-vial,puramass,,,
vyta-tirz-30mg-case,Vyta- Tirz 30mg (Case),Peptides,Peptides,Case,3000.00,CAD,,,CA$3000.00,,https://didnmcyrxgubgesiaatj.supabase.co/storage/v1/object/public/product-boxes/Tirzepatide%2030mg.png,https://didnmcyrxgubgesiaatj.supabase.co/storage/v1/object/public/product-boxes/Tirzepatide%2030mg.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,tirz-30mg-case,puramass,,,
vyta-tirz-30mg-vial,Vyta- Tirz 30mg (Single Vial),Peptides,Peptides,Single Vial,300.00,CAD,,,CA$300.00,,https://puramass.com/images/products/GLP-2T 30mg.jpg,https://puramass.com/images/products/GLP-2T 30mg.jpg,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,tirz-30mg-vial,puramass,,,
vyta-bpc157-5mg-case,Vyta- BPC157 5mg (Case),Peptides,Peptides,Case,750.00,CAD,,,CA$750.00,,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789742766015-a8vo65.png,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789742766015-a8vo65.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,bpc157-5mg-case,puramass,,,
vyta-bpc157-5mg-vial,Vyta- BPC157 5mg (Single Vial),Peptides,Peptides,Single Vial,75.00,CAD,,,CA$75.00,,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789742753190-wjqbw.png,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789742753190-wjqbw.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,bpc157-5mg-vial,puramass,,,
vyta-tb500-10mg-case,Vyta- TB500 10mg (Case),Peptides,Peptides,Case,950.00,CAD,,,CA$950.00,,https://swpcvpkcfxihxmjpjqow.supabase.co/storage/v1/object/public/product-boxes/TB500%2010mg.png,https://swpcvpkcfxihxmjpjqow.supabase.co/storage/v1/object/public/product-boxes/TB500%2010mg.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,tb500-10mg-case,puramass,,,
vyta-tb500-10mg-vial,Vyta- TB500 10mg (Single Vial),Peptides,Peptides,Single Vial,95.00,CAD,,,CA$95.00,,https://puramass.com/images/products/TB-500 10mg.jpg,https://puramass.com/images/products/TB-500 10mg.jpg,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,tb500-10mg-vial,puramass,,,
vyta-bacteriostatic-water-pfizer-30ml-case,Vyta- Bacteriostatic Water Pfizer 30mL (Case),Peptides,Peptides,Case,300.00,CAD,,,CA$300.00,,https://didnmcyrxgubgesiaatj.supabase.co/storage/v1/object/public/products/1784124305309-amfjkh.png,https://didnmcyrxgubgesiaatj.supabase.co/storage/v1/object/public/products/1784124305309-amfjkh.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,bacteriostatic-water-pfizer-30ml-case,puramass,,,
vyta-bacteriostatic-water-pfizer-30ml-vial,Vyta- Bacteriostatic Water Pfizer 30mL (Single Vial),Peptides,Peptides,Single Vial,30.00,CAD,,,CA$30.00,,https://didnmcyrxgubgesiaatj.supabase.co/storage/v1/object/public/products/1784123749509-0k308s.png,https://didnmcyrxgubgesiaatj.supabase.co/storage/v1/object/public/products/1784123749509-0k308s.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,bacteriostatic-water-pfizer-30ml-vial,puramass,,,
vyta-ghk-cu-50mg-case,Vyta- GHK(Cu) 50mg (Case),Peptides,Peptides,Case,550.00,CAD,,,CA$550.00,,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789743869074-ib4o6s.png,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789743869074-ib4o6s.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,ghk-cu-50mg-case,puramass,,,
vyta-ghk-cu-50mg-vial,Vyta- GHK(Cu) 50mg (Single Vial),Peptides,Peptides,Single Vial,55.00,CAD,,,CA$55.00,,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789744128053-li7stl.png,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789744128053-li7stl.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,ghk-cu-50mg-vial,puramass,,,
vyta-snap8-10mg-case,Vyta- Snap8 10mg (Case),Peptides,Peptides,Case,1050.00,CAD,,,CA$1050.00,,https://didnmcyrxgubgesiaatj.supabase.co/storage/v1/object/public/product-boxes/Snap-8%2010mg.png,https://didnmcyrxgubgesiaatj.supabase.co/storage/v1/object/public/product-boxes/Snap-8%2010mg.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,snap8-10mg-case,puramass,,,
vyta-snap8-10mg-vial,Vyta- Snap8 10mg (Single Vial),Peptides,Peptides,Single Vial,105.00,CAD,,,CA$105.00,,https://swpcvpkcfxihxmjpjqow.supabase.co/storage/v1/object/public/products/Snap-8%2010mg.jpg,https://swpcvpkcfxihxmjpjqow.supabase.co/storage/v1/object/public/products/Snap-8%2010mg.jpg,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,snap8-10mg-vial,puramass,,,
vyta-glp-3-10mg-case,Vyta- GLP-3 10mg (Case),Peptides,Peptides,Case,1500.00,CAD,,,CA$1500.00,,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789744513059-g7m5fm7.png,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789744513059-g7m5fm7.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,glp-3-10mg-case,puramass,,,
vyta-glp-3-10mg-vial,Vyta- GLP-3 10mg (Single Vial),Peptides,Peptides,Single Vial,150.00,CAD,,,CA$150.00,,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789744529533-1a2o2g.png,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789744529533-1a2o2g.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,glp-3-10mg-vial,puramass,,,
